timestap;#inquee;#inprocess
0;1;0
9;0;1
32;0;0
3534;1;0
3540;0;1
3544;0;0
10679;1;0
10698;2;0
10699;3;0
10703;4;0
10703;5;0
10704;6;0
10708;7;0
10708;8;0
10712;9;0
10726;10;0
10727;11;0
10729;12;0
10731;13;0
10733;14;0
10734;15;0
10734;16;0
10736;17;0
10738;18;0
10743;17;1
10749;16;2
10750;15;3
10750;14;4
10750;13;5
10750;12;6
10750;11;7
10750;10;8
10750;9;9
10750;8;10
10751;7;11
10751;6;12
10751;5;13
10751;4;14
10751;3;15
10751;2;16
10751;1;17
10752;0;18
10759;1;18
10765;2;18
10771;1;19
10771;0;20
10777;1;20
10786;2;20
10788;2;19
10789;3;19
10793;3;18
10794;4;18
10799;4;17
10802;5;17
10803;6;17
10803;6;16
10807;7;16
10807;7;15
10809;7;14
10811;7;13
10814;8;13
10816;8;12
10818;9;12
10818;9;11
10823;10;11
10826;10;10
10838;10;9
10839;11;9
10841;12;9
10842;13;9
10843;14;9
10844;14;8
10846;14;7
10851;14;6
10852;14;5
10854;14;4
10854;13;5
10857;13;4
10859;13;3
10863;12;4
10864;11;5
10865;10;6
10865;10;5
10866;9;6
10867;8;7
10870;8;6
10871;7;7
10872;6;8
10876;5;9
10876;4;10
10876;3;11
10876;2;12
10877;1;13
10883;0;14
10883;0;13
10892;0;12
10895;0;11
10902;0;10
10906;0;9
10909;0;8
10914;0;7
10920;0;6
10928;0;5
10933;1;5
10935;1;4
10947;1;3
10948;2;3
10949;3;3
10950;4;3
10952;5;3
10955;5;2
10959;6;2
10962;6;1
10964;7;1
10965;7;0
10968;8;0
10971;7;1
10973;6;2
10974;5;3
10977;4;4
10978;3;5
10979;2;6
10981;1;7
10984;0;8
10992;1;8
10995;2;8
11019;3;8
11025;4;8
11036;4;7
11045;4;6
11057;4;5
11061;4;4
11065;4;3
11074;4;2
11076;4;1
11078;4;0
11085;5;0
11089;6;0
11114;7;0
11115;6;1
11119;6;0
11120;5;1
11122;4;2
11124;4;1
11125;3;2
11127;3;1
11131;3;0
11134;2;1
11135;3;1
11135;2;2
11139;3;2
11147;4;2
11148;5;2
11155;6;2
11157;5;3
11159;4;4
11160;3;5
11182;4;5
11197;5;5
11198;5;4
11198;6;4
11207;7;4
11207;7;3
11209;6;4
11212;5;5
11220;5;4
11262;6;4
11263;7;4
11264;8;4
11265;9;4
11266;10;4
11266;11;4
11273;12;4
11274;13;4
11278;13;3
11287;13;2
11289;13;1
11297;13;0
11298;12;1
11302;12;0
11303;11;1
11314;11;0
11321;12;0
11322;11;1
11328;10;2
11328;10;1
11343;10;0
11344;9;1
11348;9;0
11397;8;1
11414;8;0
11415;7;1
11415;6;2
11416;5;3
11418;4;4
11419;3;5
11419;3;4
11421;3;3
11424;3;2
11425;2;3
11426;1;4
11427;0;5
11428;0;4
11430;0;3
11432;0;2
11434;0;1
11436;0;0
11462;1;0
11467;0;1
11638;1;1
11639;2;1
11639;3;1
11641;4;1
11642;4;0
11642;5;0
11643;6;0
11644;7;0
11644;8;0
11646;9;0
11649;10;0
11652;11;0
11676;12;0
11688;13;0
11692;12;1
11693;13;1
11694;12;2
11695;11;3
11696;10;4
11696;9;5
11697;8;6
11697;7;7
11698;6;8
11699;5;9
11701;4;10
11702;3;11
11702;2;12
11784;2;11
11785;1;12
11788;0;13
11793;0;12
11797;0;11
11798;1;11
11799;2;11
11799;2;10
11800;3;10
11801;4;10
11801;4;9
11803;5;9
11806;5;8
11819;5;7
11826;6;7
11826;6;6
11850;7;6
11850;8;6
11896;9;6
11909;10;6
11911;11;6
11912;12;6
11913;13;6
11914;14;6
11915;15;6
11916;16;6
11921;17;6
11922;18;6
11927;19;6
11929;20;6
11931;21;6
11932;22;6
11933;23;6
11957;24;6
11964;25;6
11965;26;6
11999;27;6
12000;28;6
12004;29;6
12004;30;6
12004;31;6
12006;32;6
12006;33;6
12007;34;6
12011;35;6
12015;35;5
12030;35;4
12032;35;3
12035;35;2
12038;35;1
12038;34;2
12041;33;3
12044;33;2
12044;32;3
12045;32;2
12046;31;3
12048;31;2
12048;30;3
12049;30;2
12050;29;3
12053;28;4
12053;28;3
12054;27;4
12055;26;5
12055;25;6
12057;25;5
12058;24;6
12059;24;5
12059;23;6
12060;22;7
12060;21;8
12062;20;9
12063;20;8
12063;19;9
12064;18;10
12064;17;11
12065;16;12
12065;16;11
12066;15;12
12067;14;13
12067;13;14
12068;13;13
12069;12;14
12069;11;15
12069;10;16
12070;9;17
12072;8;18
12072;8;17
12072;7;18
12074;6;19
12074;6;18
12075;5;19
12076;4;20
12076;3;21
12077;2;22
12094;3;22
12097;3;21
12098;4;21
12099;4;20
12099;5;20
12100;6;20
12103;7;20
12104;8;20
12106;9;20
12108;10;20
12109;11;20
12109;12;20
12111;13;20
12111;14;20
12112;15;20
12114;16;20
12115;17;20
12116;18;20
12428;19;20
12431;20;20
12432;21;20
12432;22;20
12435;22;19
12436;23;19
12437;24;19
12437;24;18
12439;24;17
12439;25;17
12441;25;16
12444;25;15
12445;26;15
12446;27;15
12456;27;14
12456;27;13
12465;27;12
12472;27;11
12474;27;10
12477;27;9
12484;27;8
12484;26;9
12487;26;8
12491;26;7
12495;26;6
12496;25;7
12512;25;6
12512;25;5
12515;25;4
12525;25;3
12532;25;2
12537;25;1
12552;24;2
12555;23;3
12557;22;4
12560;22;3
12562;22;2
12566;21;3
12574;21;2
12574;20;3
12575;20;2
12579;20;1
12582;19;2
12586;19;1
12587;18;2
12594;17;3
12594;17;2
12599;17;1
12601;16;2
12606;16;1
12606;15;2
12612;14;3
12615;14;2
12617;13;3
12617;12;4
12617;12;3
12619;11;4
12621;11;3
12622;10;4
12624;10;3
12625;9;4
12625;8;5
12626;7;6
12627;6;7
12628;6;6
12629;5;7
12631;5;6
12632;4;7
12633;3;8
12634;3;7
12635;2;8
12637;2;7
12638;3;7
12640;4;7
12641;5;7
12642;5;6
12642;6;6
12643;7;6
12644;8;6
12645;9;6
12646;10;6
12647;11;6
12648;12;6
12649;13;6
12649;14;6
12652;15;6
12662;15;5
12665;15;4
12668;15;3
12674;15;2
12677;15;1
12678;15;0
12679;14;1
12684;14;0
12685;13;1
12689;13;0
12692;12;1
12696;11;2
12696;11;1
12697;10;2
12698;9;3
12702;9;2
12702;9;1
12703;8;2
12704;7;3
12708;7;2
12709;7;1
12710;6;2
12712;6;1
12713;5;2
12714;5;1
12717;5;0
12718;4;1
12719;3;2
12724;3;1
12726;3;0
12726;2;1
12727;1;2
12728;0;3
12731;0;2
12732;0;1
12732;1;1
12733;2;1
12733;3;1
12734;3;0
12735;4;0
12736;5;0
12736;6;0
12742;7;0
12745;8;0
12746;9;0
12747;10;0
12748;11;0
12749;12;0
12750;13;0
12751;14;0
12752;15;0
12752;14;1
12753;15;1
12753;16;1
12754;17;1
12757;18;1
12757;18;0
12758;17;1
12758;18;1
12759;19;1
12759;20;1
12762;20;0
12762;21;0
12763;22;0
12763;21;1
12764;22;1
12764;23;1
12765;24;1
12766;25;1
12768;25;0
12769;24;1
12775;24;0
12776;23;1
12780;22;2
12782;22;1
12783;21;2
12786;21;1
12787;21;0
12789;20;1
12795;20;0
12796;19;1
12799;18;2
12799;19;2
12800;19;1
12802;18;2
12804;18;1
12805;19;1
12806;18;2
12810;18;1
12814;18;0
12816;19;0
12817;18;1
12819;19;1
12819;20;1
12834;21;1
12836;22;1
12836;23;1
12837;24;1
12838;25;1
12839;26;1
12840;27;1
12841;28;1
12842;29;1
12842;29;0
12842;30;0
12843;31;0
12844;32;0
12845;33;0
12846;34;0
12847;33;1
12850;33;0
12852;32;1
12855;32;0
12856;31;1
12858;30;2
12859;29;3
12862;28;4
12864;27;5
12865;28;5
12866;27;6
12868;28;6
12868;27;7
12872;26;8
12873;25;9
12873;24;10
12874;23;11
12874;22;12
12875;21;13
